match_id,split,npy_samples,required_for_bst_split,downloaded,local_video_path,expected_filename,video_name,tournament,round,duration_minutes,winner,loser,url
11,train,1219,True,False,,11 CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals.mp4,CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,Indonesia Open 2019,Quarter-finals,76,CHOU Tien Chen,Jonatan CHRISTIE,https://www.youtube.com/watch?v=yD6WKVqsAKc
12,excluded,0,False,False,,12 NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals.mp4,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,Thailand Masters 2020,Semi-finals,37,NG Ka Long Angus,SHI Yuqi,https://www.youtube.com/watch?v=maLGQ7fjCt4
13,train,756,True,False,,13 Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals.mp4,Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,Malaysia Masters 2020,Finals,54,Kento MOMOTA,Viktor AXELSEN,https://www.youtube.com/watch?v=boQC4J4E1ZQ
14,train,1018,True,False,,14 Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals.mp4,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,Indonesia Masters 2020,Quarter-finals,68,Anders ANTONSEN,Jonatan CHRISTIE,https://www.youtube.com/watch?v=5W6txLGZ1Rs
15,train,824,True,False,,15 Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final.mp4,Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,Indonesia Masters 2020,Finals,71,Anthony Sinisuka GINTING,Anders ANTONSEN,https://www.youtube.com/watch?v=yu9oyMXRGHY
16,train,506,True,False,,16 Anthony_Sinisuka_GINTING_Viktor_AXELSEN_Indonesia_Masters_2020_SemiFinals.mp4,Anthony_Sinisuka_GINTING_Viktor_AXELSEN_Indonesia_Masters_2020_SemiFinals,Indonesia Masters 2020,Semi-finals,43,Anthony Sinisuka GINTING,Viktor AXELSEN,https://www.youtube.com/watch?v=5kS_a7vS5xI
17,train,951,True,False,,17 NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals.mp4,NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,Malaysia Masters 2020,Quarter-finals,65,NG Ka Long Angus,Jonatan CHRISTIE,https://www.youtube.com/watch?v=G9r400zkkz8
18,train,312,True,False,,18 Viktor_AXELSEN_SHI_Yu_Qi_All_England_Open_2020_QuarterFinals.mp4,Viktor_AXELSEN_SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,All England Open 2020,Quarter-finals,40,Viktor AXELSEN,SHI Yuqi,https://www.youtube.com/watch?v=8lHAsyRhYYQ
19,train,910,True,False,,19 Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals.mp4,Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,Malaysia Masters 2020,Quarter-finals,68,Viktor AXELSEN,CHEN Long,https://www.youtube.com/watch?v=YmW83aQFADg
20,train,569,True,False,,20 Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals.mp4,Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,Malaysia Masters 2020,Semi-finals,44,Viktor AXELSEN,NG Ka Long Angus,https://www.youtube.com/watch?v=4e3JJ4rvT3Q
21,train,663,True,False,,21 An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals.mp4,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,44,An Se Young,Ratchanok INTANON,https://www.youtube.com/watch?v=gloiZ_gTJaE
22,train,581,True,False,,22 Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals.mp4,Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,45,Mia BLICHFELDT,Busanan ONGBAMRUNGPHAN,https://www.youtube.com/watch?v=8u_UHCnYSkk
23,train,829,True,False,,23 Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals.mp4,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,44,NG Ka Long Angus,LEE Cheuk Yiu,https://www.youtube.com/watch?v=rSK9Qx8LapE
24,train,1126,True,False,,24 Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals.mp4,Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,66,Anthony Sinisuka GINTING,Rasmus GEMKE,https://www.youtube.com/watch?v=NlDrJyQUTSI
25,train,629,True,False,,25 Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals.mp4,Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,44,Carolina MARIN,Supanida KATETHONG,https://www.youtube.com/watch?v=FZPrpoGdyHI
26,train,673,True,False,,26 Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals.mp4,Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,40,Viktor AXELSEN,Jonatan CHRISTIE,https://www.youtube.com/watch?v=RRI_k2KZgOM
27,excluded,0,False,False,,27 Viktor_Axelsen_Anthony_Sinisuka_Ginting_YONEX_Thailand_Open_2021_SemiFinals.mp4,Viktor_Axelsen_Anthony_Sinisuka_Ginting_YONEX_Thailand_Open_2021_SemiFinals,YONEX THAILAND OPEN 2021,Semi-finals,63,Viktor AXELSEN,Anthony Sinisuka GINTING,https://www.youtube.com/watch?v=HTBf9wFL0mk
28,train,862,True,False,,28 Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals.mp4,Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals,YONEX THAILAND OPEN 2021,Finals,44,Viktor AXELSEN,NG Ka Long Angus,https://www.youtube.com/watch?v=IuXmsimDOW8
29,train,747,True,False,,29 An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,44,An Se Young,Pornpawee CHOCHUWONG,https://www.youtube.com/watch?v=TXT-qlniM90
30,train,1204,True,False,,30 Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,81,Anders ANTONSEN,Sameer VERMA,https://www.youtube.com/watch?v=YP8YlZkrQq8
31,train,518,True,False,,31 Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,34,Carolina MARIN,Neslihan YIGIT,https://www.youtube.com/watch?v=gJ_KHu0EC6I
32,train,1273,True,False,,32 Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,77,Hans-Kristian Solberg VITTINGHUS,LEE Cheuk Yiu,https://www.youtube.com/watch?v=ROAnTfC_8zA
33,train,591,True,False,,33 Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,41,Viktor AXELSEN,LIEW Daren,https://www.youtube.com/watch?v=OzRtd3D0hEo
34,train,583,True,False,,34 Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,38,Ratchanok INTANON,PUSARLA V. Sindhu,https://www.youtube.com/watch?v=o51ingUOU20
35,val,765,True,False,,35 Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals.mp4,Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals,TOYOTA THAILAND OPEN 2021,Semi-finals,51,Carolina MARIN,An Se Young,https://www.youtube.com/watch?v=XmJ-OdVFQtk
36,val,735,True,False,,36 Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals.mp4,Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals,TOYOTA THAILAND OPEN 2021,Semi-finals,45,Hans-Kristian Solberg VITTINGHUS,Anders ANTONSEN,https://www.youtube.com/watch?v=D27aAZvuRTw
37,val,727,True,False,,37 Viktor_Axelsen_Hans_Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals.mp4,Viktor_Axelsen_Hans_Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals,TOYOTA THAILAND OPEN 2021,Finals,40,Viktor AXELSEN,Hans-Kristian Solberg VITTINGHUS,https://www.youtube.com/watch?v=4rQUHv9oGpI
38,val,814,True,False,,38 Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,55,An Se Young,Carolina MARIN,https://www.youtube.com/watch?v=OH6dnTXhZy4
39,test,815,True,False,,39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,50,Anthony Sinisuka GINTING,LEE Zii Jia,https://www.youtube.com/watch?v=XYY6YXv6Nss
40,test,568,True,False,,40 Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,34,Evgeniya KOSETSKAYA,Michelle LI,https://www.youtube.com/watch?v=IDSr0z5f52k
41,val,1200,True,False,,41 Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,65,NG Ka Long Angus,KIDAMBI Srikanth,https://www.youtube.com/watch?v=yr2JQTdzNjY
42,test,644,True,False,,42 Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,42,PUSARLA V. Sindhu,Pornpawee CHOCHUWONG,https://www.youtube.com/watch?v=Mawo3l3Hb9E
43,test,577,True,False,,43 Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals.mp4,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,HSBC BWF WORLD TOUR FINALS 2020,Semi-finals,40,Carolina MARIN,Pornpawee CHOCHUWONG,https://www.youtube.com/watch?v=vfzkc3lFTdM
44,test,895,True,False,,44 Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals.mp4,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,HSBC BWF WORLD TOUR FINALS 2020,Finals,60,Anders ANTONSEN,Viktor AXELSEN,https://www.youtube.com/watch?v=j7_cjmJDYNU
