sample_id,dataset,split,match_id,set_id,rally,ball_round,video_path,start_frame,hit_frame,end_frame,fps,player_side,raw_label,coarse_label,stroke_side,annotation_path
39_1_11_6,shuttleset,test,39,1,11,6,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18807,18837,18867,30.0,bottom,挑球,lift,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_7,shuttleset,test,39,1,11,7,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18856,18886,18916,30.0,top,過渡切球,drop,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_8,shuttleset,test,39,1,11,8,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18876,18906,18936,30.0,bottom,推球,net_attack,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_11_9,shuttleset,test,39,1,11,9,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,18891,18921,18951,30.0,top,擋小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_12_1,shuttleset,test,39,1,12,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,19426,19456,19486,30.0,bottom,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_12_2,shuttleset,test,39,1,12,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,19455,19485,19515,30.0,top,挑球,lift,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_12_3,shuttleset,test,39,1,12,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,19490,19520,19550,30.0,bottom,長球,clear,aroundhead,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_12_4,shuttleset,test,39,1,12,4,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,19536,19566,19596,30.0,top,殺球,smash,aroundhead,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_12_5,shuttleset,test,39,1,12,5,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,19551,19581,19611,30.0,bottom,防守回挑,lift,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_12_6,shuttleset,test,39,1,12,6,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,19576,19606,19636,30.0,top,殺球,smash,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_1,shuttleset,test,39,1,13,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20134,20164,20194,30.0,bottom,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_2,shuttleset,test,39,1,13,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20157,20187,20217,30.0,top,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_3,shuttleset,test,39,1,13,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20185,20215,20245,30.0,bottom,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_4,shuttleset,test,39,1,13,4,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20210,20240,20270,30.0,top,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_5,shuttleset,test,39,1,13,5,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20233,20263,20293,30.0,bottom,挑球,lift,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_6,shuttleset,test,39,1,13,6,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20302,20332,20362,30.0,top,殺球,smash,aroundhead,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_7,shuttleset,test,39,1,13,7,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20319,20349,20379,30.0,bottom,擋小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_13_8,shuttleset,test,39,1,13,8,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,20343,20373,20403,30.0,top,撲球,net_attack,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_1,shuttleset,test,39,1,15,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22523,22553,22583,30.0,top,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_2,shuttleset,test,39,1,15,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22544,22574,22604,30.0,bottom,推球,net_attack,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_3,shuttleset,test,39,1,15,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22579,22609,22639,30.0,top,切球,drop,aroundhead,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_4,shuttleset,test,39,1,15,4,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22600,22630,22660,30.0,bottom,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_5,shuttleset,test,39,1,15,5,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22628,22658,22688,30.0,top,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_6,shuttleset,test,39,1,15,6,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22648,22678,22708,30.0,bottom,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_7,shuttleset,test,39,1,15,7,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22672,22702,22732,30.0,top,撲球,net_attack,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_15_8,shuttleset,test,39,1,15,8,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,22672,22702,22732,30.0,bottom,擋小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_16_2,shuttleset,test,39,1,16,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,23151,23181,23211,30.0,bottom,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_16_3,shuttleset,test,39,1,16,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,23180,23210,23240,30.0,top,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_16_4,shuttleset,test,39,1,16,4,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,23207,23237,23267,30.0,bottom,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_16_5,shuttleset,test,39,1,16,5,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,23232,23262,23292,30.0,top,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_16_6,shuttleset,test,39,1,16,6,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,23256,23286,23316,30.0,bottom,挑球,lift,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_16_7,shuttleset,test,39,1,16,7,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,23295,23325,23355,30.0,top,點扣,smash,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_16_8,shuttleset,test,39,1,16,8,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,23308,23338,23368,30.0,bottom,擋小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_17_1,shuttleset,test,39,1,17,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,25207,25237,25267,30.0,top,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_17_2,shuttleset,test,39,1,17,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,25224,25254,25284,30.0,bottom,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_17_3,shuttleset,test,39,1,17,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,25248,25278,25308,30.0,top,挑球,lift,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_18_1,shuttleset,test,39,1,18,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,25606,25636,25666,30.0,top,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_18_2,shuttleset,test,39,1,18,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,25625,25655,25685,30.0,bottom,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_18_3,shuttleset,test,39,1,18,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,25656,25686,25716,30.0,top,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_19_1,shuttleset,test,39,1,19,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26361,26391,26421,30.0,bottom,發長球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_19_2,shuttleset,test,39,1,19,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26393,26423,26453,30.0,top,殺球,smash,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_19_3,shuttleset,test,39,1,19,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26405,26435,26465,30.0,bottom,勾球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_19_4,shuttleset,test,39,1,19,4,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26431,26461,26491,30.0,top,擋小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_19_5,shuttleset,test,39,1,19,5,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26455,26485,26515,30.0,bottom,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_19_6,shuttleset,test,39,1,19,6,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26473,26503,26533,30.0,top,撲球,net_attack,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_1_1,shuttleset,test,39,1,1,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,11786,11816,11846,30.0,bottom,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_1_2,shuttleset,test,39,1,1,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,11807,11837,11867,30.0,top,放小球,net_shot,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_1_3,shuttleset,test,39,1,1,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,11833,11863,11893,30.0,bottom,挑球,lift,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_20_1,shuttleset,test,39,1,20,1,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26852,26882,26912,30.0,top,發短球,serve,backhand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_20_2,shuttleset,test,39,1,20,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26874,26904,26934,30.0,bottom,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_20_3,shuttleset,test,39,1,20,3,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,26926,26956,26986,30.0,top,放小球,net_shot,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
39_1_21_2,shuttleset,test,39,1,21,2,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,27289,27319,27349,30.0,bottom,推球,net_attack,forehand,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv
