match_id,split,status,match_score,match_method,local_video_path,expected_video_name,expected_url,width,height,expected_width,expected_height,resolution_ok,fps,duration_seconds,codec
29,train,ok,0.7,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\TOYOTA Thailand Open   Day 4 An Se Young (KOR) [7] vs. Pornpawee Chochuwong (THA).mp4,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=TXT-qlniM90,1280,720,1280,720,True,30.0,3250.051,h264
30,train,review,0.6434,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\TOYOTA Thailand Open   Day 4 Anders Antonsen (DEN) [3] vs. Sameer Verma (IND).mp4,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=YP8YlZkrQq8,1280,720,640,360,False,30.0,5475.08,h264
31,train,review,0.6482,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\TOYOTA Thailand Open   Day 4 Carolina Marin (ESP) [5] vs. Neslihan Yigit (TUR).mp4,Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=gJ_KHu0EC6I,1280,720,1280,720,True,30.0,2640.062,h264
32,train,review,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\32 Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=ROAnTfC_8zA,1280,720,640,360,False,30.0,5235.0,h264
33,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\33 Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=OzRtd3D0hEo,1280,720,1280,720,True,30.0,3315.0,h264
34,train,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\34 Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals.mp4,Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,https://www.youtube.com/watch?v=o51ingUOU20,1280,720,1280,720,True,30.0,2905.0,h264
35,val,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\val\35 Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals.mp4,Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals,https://www.youtube.com/watch?v=XmJ-OdVFQtk,1280,720,1280,720,True,30.0,3755.0,h264
36,val,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\val\36 Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals.mp4,Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals,https://www.youtube.com/watch?v=D27aAZvuRTw,1280,720,1280,720,True,30.0,3335.0,h264
37,val,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\val\37 Viktor_Axelsen_Hans_Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals.mp4,Viktor_Axelsen_Hans_Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals,https://www.youtube.com/watch?v=4rQUHv9oGpI,1280,720,1280,720,True,30.0,3479.967,h264
38,val,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\val\38 Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=OH6dnTXhZy4,1280,720,1280,720,True,30.0,3965.0,h264
39,test,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\Test\39 Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss,1280,720,1280,720,True,30.0,3630.0,h264
40,test,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\Test\40 Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=IDSr0z5f52k,1280,720,1280,720,True,30.0,2630.0,h264
41,val,review,1.0,metadata_name,C:\Users\ADMIN\Downloads\shuttleSEt\val\Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=yr2JQTdzNjY,1280,720,640,360,False,30.0,4465.0,h264
42,test,review,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\Test\42 Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=Mawo3l3Hb9E,1280,720,640,360,False,30.0,3305.0,h264
43,test,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\Test\43 Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals.mp4,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,https://www.youtube.com/watch?v=vfzkc3lFTdM,1280,720,1280,720,True,30.0,3265.0,h264
44,test,ok,1.0,filename_id,C:\Users\ADMIN\Downloads\shuttleSEt\Test\44 Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals.mp4,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,https://www.youtube.com/watch?v=j7_cjmJDYNU,1280,720,1280,720,True,30.0,4815.0,h264
