sample_id,split,match_id,set_id,rally,ball_round,hit_frame,player_side,raw_label,coarse_label,stroke_side,stroke_side_source,flaw,valid_stroke_side,valid_coarse_label,joints_path,position_path,shuttle_path,annotation_path,video_name,video_url
39_1_11_5,test,39,1,11,5,18812,top,放小球,net_shot,backhand,backhand=1.0,,True,True,test/Top_放小球/39_1_11_5_joints.npy,test/Top_放小球/39_1_11_5_pos.npy,test/Top_放小球/39_1_11_5_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_6,test,39,1,11,6,18837,bottom,挑球,lift,forehand,both_flags_blank,,True,True,test/Bottom_挑球/39_1_11_6_joints.npy,test/Bottom_挑球/39_1_11_6_pos.npy,test/Bottom_挑球/39_1_11_6_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_7,test,39,1,11,7,18886,top,過渡切球,drop,forehand,both_flags_blank,,True,True,test/Top_切球/39_1_11_7_joints.npy,test/Top_切球/39_1_11_7_pos.npy,test/Top_切球/39_1_11_7_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_8,test,39,1,11,8,18906,bottom,推球,net_attack,backhand,backhand=1.0,,True,True,test/Bottom_推球/39_1_11_8_joints.npy,test/Bottom_推球/39_1_11_8_pos.npy,test/Bottom_推球/39_1_11_8_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_11_9,test,39,1,11,9,18921,top,擋小球,net_shot,backhand,backhand=1.0,,True,True,test/Top_擋小球/39_1_11_9_joints.npy,test/Top_擋小球/39_1_11_9_pos.npy,test/Top_擋小球/39_1_11_9_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_12_1,test,39,1,12,1,19456,bottom,發短球,serve,backhand,backhand=1.0,,True,True,test/Bottom_發短球/39_1_12_1_joints.npy,test/Bottom_發短球/39_1_12_1_pos.npy,test/Bottom_發短球/39_1_12_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_12_2,test,39,1,12,2,19485,top,挑球,lift,forehand,both_flags_blank,,True,True,test/Top_挑球/39_1_12_2_joints.npy,test/Top_挑球/39_1_12_2_pos.npy,test/Top_挑球/39_1_12_2_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_12_3,test,39,1,12,3,19520,bottom,長球,clear,aroundhead,aroundhead=1.0,,True,True,test/Bottom_長球/39_1_12_3_joints.npy,test/Bottom_長球/39_1_12_3_pos.npy,test/Bottom_長球/39_1_12_3_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_12_4,test,39,1,12,4,19566,top,殺球,smash,aroundhead,aroundhead=1.0,,True,True,test/Top_殺球/39_1_12_4_joints.npy,test/Top_殺球/39_1_12_4_pos.npy,test/Top_殺球/39_1_12_4_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_12_5,test,39,1,12,5,19581,bottom,防守回挑,lift,forehand,both_flags_blank,,True,True,test/Bottom_挑球/39_1_12_5_joints.npy,test/Bottom_挑球/39_1_12_5_pos.npy,test/Bottom_挑球/39_1_12_5_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_12_6,test,39,1,12,6,19606,top,殺球,smash,forehand,both_flags_blank,,True,True,test/Top_殺球/39_1_12_6_joints.npy,test/Top_殺球/39_1_12_6_pos.npy,test/Top_殺球/39_1_12_6_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_1,test,39,1,13,1,20164,bottom,發短球,serve,backhand,backhand=1.0,,True,True,test/Bottom_發短球/39_1_13_1_joints.npy,test/Bottom_發短球/39_1_13_1_pos.npy,test/Bottom_發短球/39_1_13_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_2,test,39,1,13,2,20187,top,放小球,net_shot,backhand,backhand=1.0,,True,True,test/Top_放小球/39_1_13_2_joints.npy,test/Top_放小球/39_1_13_2_pos.npy,test/Top_放小球/39_1_13_2_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_3,test,39,1,13,3,20215,bottom,放小球,net_shot,forehand,both_flags_blank,,True,True,test/Bottom_放小球/39_1_13_3_joints.npy,test/Bottom_放小球/39_1_13_3_pos.npy,test/Bottom_放小球/39_1_13_3_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_4,test,39,1,13,4,20240,top,放小球,net_shot,backhand,backhand=1.0,,True,True,test/Top_放小球/39_1_13_4_joints.npy,test/Top_放小球/39_1_13_4_pos.npy,test/Top_放小球/39_1_13_4_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_5,test,39,1,13,5,20263,bottom,挑球,lift,backhand,backhand=1.0,,True,True,test/Bottom_挑球/39_1_13_5_joints.npy,test/Bottom_挑球/39_1_13_5_pos.npy,test/Bottom_挑球/39_1_13_5_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_6,test,39,1,13,6,20332,top,殺球,smash,aroundhead,aroundhead=1.0,,True,True,test/Top_殺球/39_1_13_6_joints.npy,test/Top_殺球/39_1_13_6_pos.npy,test/Top_殺球/39_1_13_6_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_7,test,39,1,13,7,20349,bottom,擋小球,net_shot,backhand,backhand=1.0,,True,True,test/Bottom_擋小球/39_1_13_7_joints.npy,test/Bottom_擋小球/39_1_13_7_pos.npy,test/Bottom_擋小球/39_1_13_7_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_13_8,test,39,1,13,8,20373,top,撲球,net_attack,forehand,both_flags_blank,,True,True,test/Top_撲球/39_1_13_8_joints.npy,test/Top_撲球/39_1_13_8_pos.npy,test/Top_撲球/39_1_13_8_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_14_1,test,39,1,14,1,20828,unknown,未知球種,unknown,forehand,both_flags_blank,1.0,False,False,test/未知球種/39_1_14_1_joints.npy,test/未知球種/39_1_14_1_pos.npy,test/未知球種/39_1_14_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_1,test,39,1,15,1,22553,top,發短球,serve,backhand,backhand=1.0,,True,True,test/Top_發短球/39_1_15_1_joints.npy,test/Top_發短球/39_1_15_1_pos.npy,test/Top_發短球/39_1_15_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_2,test,39,1,15,2,22574,bottom,推球,net_attack,backhand,backhand=1.0,,True,True,test/Bottom_推球/39_1_15_2_joints.npy,test/Bottom_推球/39_1_15_2_pos.npy,test/Bottom_推球/39_1_15_2_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_3,test,39,1,15,3,22609,top,切球,drop,aroundhead,aroundhead=1.0,,True,True,test/Top_切球/39_1_15_3_joints.npy,test/Top_切球/39_1_15_3_pos.npy,test/Top_切球/39_1_15_3_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_4,test,39,1,15,4,22630,bottom,放小球,net_shot,forehand,both_flags_blank,,True,True,test/Bottom_放小球/39_1_15_4_joints.npy,test/Bottom_放小球/39_1_15_4_pos.npy,test/Bottom_放小球/39_1_15_4_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_5,test,39,1,15,5,22658,top,放小球,net_shot,forehand,both_flags_blank,,True,True,test/Top_放小球/39_1_15_5_joints.npy,test/Top_放小球/39_1_15_5_pos.npy,test/Top_放小球/39_1_15_5_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_6,test,39,1,15,6,22678,bottom,放小球,net_shot,backhand,backhand=1.0,,True,True,test/Bottom_放小球/39_1_15_6_joints.npy,test/Bottom_放小球/39_1_15_6_pos.npy,test/Bottom_放小球/39_1_15_6_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_7,test,39,1,15,7,22702,top,撲球,net_attack,forehand,both_flags_blank,,True,True,test/Top_撲球/39_1_15_7_joints.npy,test/Top_撲球/39_1_15_7_pos.npy,test/Top_撲球/39_1_15_7_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_15_8,test,39,1,15,8,22702,bottom,擋小球,net_shot,backhand,backhand=1.0,,True,True,test/Bottom_擋小球/39_1_15_8_joints.npy,test/Bottom_擋小球/39_1_15_8_pos.npy,test/Bottom_擋小球/39_1_15_8_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_1,test,39,1,16,1,23168,unknown,未知球種,unknown,forehand,both_flags_blank,1.0,False,False,test/未知球種/39_1_16_1_joints.npy,test/未知球種/39_1_16_1_pos.npy,test/未知球種/39_1_16_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_2,test,39,1,16,2,23181,bottom,放小球,net_shot,forehand,both_flags_blank,,True,True,test/Bottom_放小球/39_1_16_2_joints.npy,test/Bottom_放小球/39_1_16_2_pos.npy,test/Bottom_放小球/39_1_16_2_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_3,test,39,1,16,3,23210,top,放小球,net_shot,backhand,backhand=1.0,,True,True,test/Top_放小球/39_1_16_3_joints.npy,test/Top_放小球/39_1_16_3_pos.npy,test/Top_放小球/39_1_16_3_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_4,test,39,1,16,4,23237,bottom,放小球,net_shot,forehand,both_flags_blank,,True,True,test/Bottom_放小球/39_1_16_4_joints.npy,test/Bottom_放小球/39_1_16_4_pos.npy,test/Bottom_放小球/39_1_16_4_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_5,test,39,1,16,5,23262,top,放小球,net_shot,backhand,backhand=1.0,,True,True,test/Top_放小球/39_1_16_5_joints.npy,test/Top_放小球/39_1_16_5_pos.npy,test/Top_放小球/39_1_16_5_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_6,test,39,1,16,6,23286,bottom,挑球,lift,forehand,both_flags_blank,,True,True,test/Bottom_挑球/39_1_16_6_joints.npy,test/Bottom_挑球/39_1_16_6_pos.npy,test/Bottom_挑球/39_1_16_6_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_7,test,39,1,16,7,23325,top,點扣,smash,forehand,both_flags_blank,,True,True,test/Top_殺球/39_1_16_7_joints.npy,test/Top_殺球/39_1_16_7_pos.npy,test/Top_殺球/39_1_16_7_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_16_8,test,39,1,16,8,23338,bottom,擋小球,net_shot,backhand,backhand=1.0,,True,True,test/Bottom_擋小球/39_1_16_8_joints.npy,test/Bottom_擋小球/39_1_16_8_pos.npy,test/Bottom_擋小球/39_1_16_8_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_17_1,test,39,1,17,1,25237,top,發短球,serve,backhand,backhand=1.0,,True,True,test/Top_發短球/39_1_17_1_joints.npy,test/Top_發短球/39_1_17_1_pos.npy,test/Top_發短球/39_1_17_1_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
39_1_17_2,test,39,1,17,2,25254,bottom,放小球,net_shot,forehand,both_flags_blank,,True,True,test/Bottom_放小球/39_1_17_2_joints.npy,test/Bottom_放小球/39_1_17_2_pos.npy,test/Bottom_放小球/39_1_17_2_shuttle.npy,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals/set1.csv,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,https://www.youtube.com/watch?v=XYY6YXv6Nss
