source_video,output_video,output_pose,split,class,view,subject,source_start_frame,source_end_frame,motion_peak_frame,peak_position,output_frames
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.34.232-00.01.37.712-seg11.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.34.232-00.01.37.712-seg11__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.34.232-00.01.37.712-seg11__motion_onset.npz,train,backhand_drive,front,Sub13,56,104,70,0.2916666666666667,64
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.39.397-00.02.43.306-seg17.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.39.397-00.02.43.306-seg17__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.39.397-00.02.43.306-seg17__motion_onset.npz,train,backhand_drive,front,Sub13,36,84,47,0.22916666666666666,64
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.39.793-00.03.43.305-seg26.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.39.793-00.03.43.305-seg26__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.39.793-00.03.43.305-seg26__motion_onset.npz,train,backhand_drive,front,Sub13,29,77,44,0.3125,64
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.01.52.407-00.01.57.255-seg02.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.01.52.407-00.01.57.255-seg02__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.01.52.407-00.01.57.255-seg02__motion_onset.npz,train,backhand_drive,front,Sub15,0,48,14,0.2916666666666667,64
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.54.982-00.02.58.446-seg11.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.54.982-00.02.58.446-seg11__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.54.982-00.02.58.446-seg11__motion_onset.npz,train,backhand_drive,front,Sub15,48,96,61,0.2708333333333333,64
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.28.185-00.04.32.186-seg25.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.28.185-00.04.32.186-seg25__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.28.185-00.04.32.186-seg25__motion_onset.npz,train,backhand_drive,front,Sub15,72,120,88,0.3333333333333333,64
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.47.391-00.04.50.526-seg28.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.47.391-00.04.50.526-seg28__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.47.391-00.04.50.526-seg28__motion_onset.npz,train,backhand_drive,front,Sub15,58,106,72,0.2916666666666667,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.00.16.549-00.00.19.532-seg01.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.00.16.549-00.00.19.532-seg01__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.00.16.549-00.00.19.532-seg01__motion_onset.npz,train,backhand_drive,front,Sub16,51,99,63,0.25,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.02.52.684-00.02.55.015-seg04.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.02.52.684-00.02.55.015-seg04__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.02.52.684-00.02.55.015-seg04__motion_onset.npz,train,backhand_drive,front,Sub16,18,66,27,0.1875,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.03.28.373-00.03.31.017-seg05.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.03.28.373-00.03.31.017-seg05__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.03.28.373-00.03.31.017-seg05__motion_onset.npz,train,backhand_drive,front,Sub16,4,52,18,0.2916666666666667,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.04.27.744-00.04.30.375-seg06.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.04.27.744-00.04.30.375-seg06__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.04.27.744-00.04.30.375-seg06__motion_onset.npz,train,backhand_drive,front,Sub16,25,73,38,0.2708333333333333,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.07.00.134-00.07.03.708-seg10.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.07.00.134-00.07.03.708-seg10__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.07.00.134-00.07.03.708-seg10__motion_onset.npz,train,backhand_drive,front,Sub16,43,91,59,0.3333333333333333,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.09.25.073-00.09.28.378-seg14.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.09.25.073-00.09.28.378-seg14__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.09.25.073-00.09.28.378-seg14__motion_onset.npz,train,backhand_drive,front,Sub16,4,52,15,0.22916666666666666,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.11.11.294-00.11.15.000-seg17.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.11.11.294-00.11.15.000-seg17__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.11.11.294-00.11.15.000-seg17__motion_onset.npz,train,backhand_drive,front,Sub16,74,122,93,0.3958333333333333,64
data\manual_clips\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.12.37.177-00.12.40.410-seg20.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.12.37.177-00.12.40.410-seg20__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub16\Backhand Drive Front Video-00.12.37.177-00.12.40.410-seg20__motion_onset.npz,train,backhand_drive,front,Sub16,24,72,43,0.3958333333333333,64
data\manual_clips\train\backhand_drive\front\Sub18\Backhand Drive Front Video-00.00.42.512-00.00.45.513-seg08.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub18\Backhand Drive Front Video-00.00.42.512-00.00.45.513-seg08__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub18\Backhand Drive Front Video-00.00.42.512-00.00.45.513-seg08__motion_onset.npz,train,backhand_drive,front,Sub18,43,91,59,0.3333333333333333,64
data\manual_clips\train\backhand_drive\front\Sub18\Backhand Drive Front Video-00.01.39.938-00.01.42.793-seg18.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub18\Backhand Drive Front Video-00.01.39.938-00.01.42.793-seg18__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub18\Backhand Drive Front Video-00.01.39.938-00.01.42.793-seg18__motion_onset.npz,train,backhand_drive,front,Sub18,22,70,37,0.3125,64
data\manual_clips\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.01.48.155-00.01.51.380-seg05.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.01.48.155-00.01.51.380-seg05__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.01.48.155-00.01.51.380-seg05__motion_onset.npz,train,backhand_drive,front,Sub19,34,82,50,0.3333333333333333,64
data\manual_clips\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.02.56.696-00.02.59.776-seg09.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.02.56.696-00.02.59.776-seg09__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.02.56.696-00.02.59.776-seg09__motion_onset.npz,train,backhand_drive,front,Sub19,22,70,39,0.3541666666666667,64
data\manual_clips\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.04.07.370-00.04.10.639-seg12.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.04.07.370-00.04.10.639-seg12__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub19\Backhand Drive Front Video-00.04.07.370-00.04.10.639-seg12__motion_onset.npz,train,backhand_drive,front,Sub19,38,86,54,0.3333333333333333,64
data\manual_clips\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.02.02.299-00.02.05.565-seg04.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.02.02.299-00.02.05.565-seg04__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.02.02.299-00.02.05.565-seg04__motion_onset.npz,train,backhand_drive,front,Sub24,48,96,61,0.2708333333333333,64
data\manual_clips\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.02.21.855-00.02.24.708-seg05.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.02.21.855-00.02.24.708-seg05__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.02.21.855-00.02.24.708-seg05__motion_onset.npz,train,backhand_drive,front,Sub24,0,48,8,0.16666666666666666,64
data\manual_clips\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.06.23.038-00.06.26.262-seg15.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.06.23.038-00.06.26.262-seg15__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.06.23.038-00.06.26.262-seg15__motion_onset.npz,train,backhand_drive,front,Sub24,21,69,33,0.25,64
data\manual_clips\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.08.26.436-00.08.29.725-seg20.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.08.26.436-00.08.29.725-seg20__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\front\Sub24\Backhand Drive Front Video-00.08.26.436-00.08.29.725-seg20__motion_onset.npz,train,backhand_drive,front,Sub24,65,113,77,0.25,64
data\manual_clips\train\backhand_drive\side\Sub08\Backhand Drive Side Video-00.00.53.585-00.00.56.394-seg02.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub08\Backhand Drive Side Video-00.00.53.585-00.00.56.394-seg02__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub08\Backhand Drive Side Video-00.00.53.585-00.00.56.394-seg02__motion_onset.npz,train,backhand_drive,side,Sub08,33,81,52,0.3958333333333333,64
data\manual_clips\train\backhand_drive\side\Sub08\Backhand Drive Side Video-00.01.36.939-00.01.40.104-seg03.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub08\Backhand Drive Side Video-00.01.36.939-00.01.40.104-seg03__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub08\Backhand Drive Side Video-00.01.36.939-00.01.40.104-seg03__motion_onset.npz,train,backhand_drive,side,Sub08,61,109,73,0.25,64
data\manual_clips\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.00.13.895-00.00.16.201-seg01.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.00.13.895-00.00.16.201-seg01__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.00.13.895-00.00.16.201-seg01__motion_onset.npz,train,backhand_drive,side,Sub09,25,73,39,0.2916666666666667,64
data\manual_clips\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.01.39.887-00.01.42.492-seg04.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.01.39.887-00.01.42.492-seg04__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.01.39.887-00.01.42.492-seg04__motion_onset.npz,train,backhand_drive,side,Sub09,23,71,36,0.2708333333333333,64
data\manual_clips\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.03.31.195-00.03.33.417-seg09.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.03.31.195-00.03.33.417-seg09__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub09\Backhand Drive Side Video-00.03.31.195-00.03.33.417-seg09__motion_onset.npz,train,backhand_drive,side,Sub09,27,75,40,0.2708333333333333,64
data\manual_clips\train\backhand_drive\side\Sub12\Backhand Drive Side Video-00.00.22.804-00.00.26.139-seg01.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub12\Backhand Drive Side Video-00.00.22.804-00.00.26.139-seg01__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub12\Backhand Drive Side Video-00.00.22.804-00.00.26.139-seg01__motion_onset.npz,train,backhand_drive,side,Sub12,51,99,69,0.375,64
data\manual_clips\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.00.14.420-00.00.18.748-seg01.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.00.14.420-00.00.18.748-seg01__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.00.14.420-00.00.18.748-seg01__motion_onset.npz,train,backhand_drive,side,Sub13,35,83,51,0.3333333333333333,64
data\manual_clips\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.00.21.612-00.00.25.036-seg02.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.00.21.612-00.00.25.036-seg02__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.00.21.612-00.00.25.036-seg02__motion_onset.npz,train,backhand_drive,side,Sub13,0,48,12,0.25,64
data\manual_clips\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.01.28.782-00.01.32.661-seg11.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.01.28.782-00.01.32.661-seg11__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.01.28.782-00.01.32.661-seg11__motion_onset.npz,train,backhand_drive,side,Sub13,22,70,38,0.3333333333333333,64
data\manual_clips\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.02.21.645-00.02.26.444-seg16.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.02.21.645-00.02.26.444-seg16__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.02.21.645-00.02.26.444-seg16__motion_onset.npz,train,backhand_drive,side,Sub13,80,128,91,0.22916666666666666,64
data\manual_clips\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.02.46.825-00.02.51.258-seg19.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.02.46.825-00.02.51.258-seg19__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub13\Backhand Drive Side Video-00.02.46.825-00.02.51.258-seg19__motion_onset.npz,train,backhand_drive,side,Sub13,66,114,80,0.2916666666666667,64
data\manual_clips\train\backhand_drive\side\Sub15\Backhand Drive Side Video-00.00.41.700-00.00.45.500-seg05.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub15\Backhand Drive Side Video-00.00.41.700-00.00.45.500-seg05__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub15\Backhand Drive Side Video-00.00.41.700-00.00.45.500-seg05__motion_onset.npz,train,backhand_drive,side,Sub15,57,105,76,0.3958333333333333,64
data\manual_clips\train\backhand_drive\side\Sub15\Backhand Drive Side Video-00.00.54.724-00.00.57.572-seg07.mov,data\manual_clips_motion_onset_augmented\train\backhand_drive\side\Sub15\Backhand Drive Side Video-00.00.54.724-00.00.57.572-seg07__motion_onset.mp4,data\processed\manual_clips_2class_motion_onset_poses\train\backhand_drive\side\Sub15\Backhand Drive Side Video-00.00.54.724-00.00.57.572-seg07__motion_onset.npz,train,backhand_drive,side,Sub15,44,92,60,0.3333333333333333,64
