frame_dir,label,recording_type,source_group,split
backhand_drive/single_player/005_backhand_dive5_01,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_02,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_03,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_04,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_05,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_06,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_07,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_08,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_09,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/005_backhand_dive5_10,0,single_player,backhand_drive/single_player/005_backhand_dive5,train
backhand_drive/single_player/006_backhand_dive6_01,0,single_player,backhand_drive/single_player/006_backhand_dive6,test
backhand_drive/single_player/006_backhand_dive6_02,0,single_player,backhand_drive/single_player/006_backhand_dive6,test
backhand_drive/single_player/006_backhand_dive6_03,0,single_player,backhand_drive/single_player/006_backhand_dive6,test
backhand_drive/single_player/006_backhand_dive6_04,0,single_player,backhand_drive/single_player/006_backhand_dive6,test
backhand_drive/single_player/006_backhand_dive6_05,0,single_player,backhand_drive/single_player/006_backhand_dive6,test
backhand_drive/single_player/006_backhand_dive6_06,0,single_player,backhand_drive/single_player/006_backhand_dive6,test
backhand_drive/single_player/007_backhandDive8_01,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_02,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_03,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_04,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_05,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_06,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_07,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_08,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/007_backhandDive8_09,0,single_player,backhand_drive/single_player/007_backhandDive8,train
backhand_drive/single_player/backhand_drive (1),0,single_player,backhand_drive/single_player/backhand_drive (1),val
backhand_drive/single_player/backhand_drive (2),0,single_player,backhand_drive/single_player/backhand_drive (2),val
backhand_drive/single_player/backhand_drive (3),0,single_player,backhand_drive/single_player/backhand_drive (3),val
backhand_drive/single_player/backhand_drive (4),0,single_player,backhand_drive/single_player/backhand_drive (4),train
backhand_drive/single_player/backhand_drive (5),0,single_player,backhand_drive/single_player/backhand_drive (5),test
backhand_drive/single_player/backhand_drive (6),0,single_player,backhand_drive/single_player/backhand_drive (6),val
backhand_drive/single_player/backhand_drive (7),0,single_player,backhand_drive/single_player/backhand_drive (7),train
backhand_drive/single_player/backhand_drive (8),0,single_player,backhand_drive/single_player/backhand_drive (8),test
backhand_drive/single_player/backhand_drive (9),0,single_player,backhand_drive/single_player/backhand_drive (9),val
backhand_drive/single_player/backhand_drive (10),0,single_player,backhand_drive/single_player/backhand_drive (10),train
backhand_drive/single_player/backhand_drive (11),0,single_player,backhand_drive/single_player/backhand_drive (11),test
forehand_lift/single_player/forehand_lift (1),1,single_player,forehand_lift/single_player/forehand_lift (1),train
forehand_lift/single_player/forehand_lift (2),1,single_player,forehand_lift/single_player/forehand_lift (2),train
forehand_lift/single_player/forehand_lift (3),1,single_player,forehand_lift/single_player/forehand_lift (3),train
forehand_lift/single_player/forehand_lift (4),1,single_player,forehand_lift/single_player/forehand_lift (4),train
forehand_lift/single_player/forehand_lift (5),1,single_player,forehand_lift/single_player/forehand_lift (5),train
forehand_lift/single_player/forehand_lift (10),1,single_player,forehand_lift/single_player/forehand_lift (10),train
forehand_lift/single_player/forehand_lift (11),1,single_player,forehand_lift/single_player/forehand_lift (11),train
forehand_lift/single_player/forehand_lift (12),1,single_player,forehand_lift/single_player/forehand_lift (12),train
forehand_lift/single_player/forehand_lift (13),1,single_player,forehand_lift/single_player/forehand_lift (13),train
forehand_lift/single_player/forehand_lift (14),1,single_player,forehand_lift/single_player/forehand_lift (14),train
forehand_lift/single_player/forehand_lift (15),1,single_player,forehand_lift/single_player/forehand_lift (15),train
forehand_lift/single_player/forehand_lift (16),1,single_player,forehand_lift/single_player/forehand_lift (16),train
forehand_lift/single_player/forehand_lift (17),1,single_player,forehand_lift/single_player/forehand_lift (17),train
forehand_lift/single_player/forehand_lift (18),1,single_player,forehand_lift/single_player/forehand_lift (18),train
forehand_lift/single_player/forehand_lift (19),1,single_player,forehand_lift/single_player/forehand_lift (19),train
forehand_lift/single_player/forehand_lift (20),1,single_player,forehand_lift/single_player/forehand_lift (20),train
forehand_lift/single_player/forehand_lift (21),1,single_player,forehand_lift/single_player/forehand_lift (21),train
forehand_lift/single_player/forehand_lift (22),1,single_player,forehand_lift/single_player/forehand_lift (22),train
forehand_lift/single_player/forehand_lift (23),1,single_player,forehand_lift/single_player/forehand_lift (23),train
forehand_lift/single_player/forehand_lift (24),1,single_player,forehand_lift/single_player/forehand_lift (24),train
forehand_lift/single_player/forehand_lift (25),1,single_player,forehand_lift/single_player/forehand_lift (25),train
forehand_lift/single_player/forehand_lift (26),1,single_player,forehand_lift/single_player/forehand_lift (26),train
forehand_lift/single_player/forehand_lift (27),1,single_player,forehand_lift/single_player/forehand_lift (27),train
forehand_lift/single_player/forehand_lift (28),1,single_player,forehand_lift/single_player/forehand_lift (28),train
forehand_lift/single_player/forehand_lift (29),1,single_player,forehand_lift/single_player/forehand_lift (29),train
forehand_lift/single_player/forehand_lift (30),1,single_player,forehand_lift/single_player/forehand_lift (30),train
forehand_lift/single_player/forehand_lift (31),1,single_player,forehand_lift/single_player/forehand_lift (31),train
forehand_lift/single_player/forehand_lift (32),1,single_player,forehand_lift/single_player/forehand_lift (32),train
forehand_lift/single_player/forehand_lift (33),1,single_player,forehand_lift/single_player/forehand_lift (33),train
forehand_lift/single_player/forehand_lift (34),1,single_player,forehand_lift/single_player/forehand_lift (34),train
forehand_lift/single_player/forehand_lift (35),1,single_player,forehand_lift/single_player/forehand_lift (35),train
forehand_lift/single_player/forehand_lift (36),1,single_player,forehand_lift/single_player/forehand_lift (36),train
forehand_lift/single_player/forehand_lift (37),1,single_player,forehand_lift/single_player/forehand_lift (37),train
forehand_lift/single_player/forehand_lift (38),1,single_player,forehand_lift/single_player/forehand_lift (38),train
forehand_lift/single_player/forehand_lift (39),1,single_player,forehand_lift/single_player/forehand_lift (39),train
forehand_lift/single_player/forehand_lift (40),1,single_player,forehand_lift/single_player/forehand_lift (40),train
forehand_lift/single_player/forehand_lift (41),1,single_player,forehand_lift/single_player/forehand_lift (41),test
forehand_lift/single_player/forehand_lift (42),1,single_player,forehand_lift/single_player/forehand_lift (42),val
forehand_lift/single_player/forehand_lift (43),1,single_player,forehand_lift/single_player/forehand_lift (43),train
forehand_lift/single_player/forehand_lift (44),1,single_player,forehand_lift/single_player/forehand_lift (44),test
forehand_lift/single_player/forehand_lift (45),1,single_player,forehand_lift/single_player/forehand_lift (45),val
forehand_lift/single_player/forehand_lift (46),1,single_player,forehand_lift/single_player/forehand_lift (46),train
forehand_lift/single_player/forehand_lift (47),1,single_player,forehand_lift/single_player/forehand_lift (47),test
forehand_lift/single_player/forehand_lift (48),1,single_player,forehand_lift/single_player/forehand_lift (48),val
forehand_lift/single_player/forehand_lift (49),1,single_player,forehand_lift/single_player/forehand_lift (49),train
forehand_lift/single_player/forehand_lift (50),1,single_player,forehand_lift/single_player/forehand_lift (50),test
forehand_lift/single_player/forehand_lift (51),1,single_player,forehand_lift/single_player/forehand_lift (51),val
forehand_lift/single_player/forehand_lift (52),1,single_player,forehand_lift/single_player/forehand_lift (52),train
forehand_lift/single_player/forehand_lift (53),1,single_player,forehand_lift/single_player/forehand_lift (53),test
forehand_lift/single_player/forehand_lift (54),1,single_player,forehand_lift/single_player/forehand_lift (54),val
forehand_lift/single_player/forehand_lift (55),1,single_player,forehand_lift/single_player/forehand_lift (55),train
forehand_lift/single_player/forehand_lift (56),1,single_player,forehand_lift/single_player/forehand_lift (56),test
forehand_lift/single_player/forehand_lift (57),1,single_player,forehand_lift/single_player/forehand_lift (57),val
forehand_lift/single_player/forehand_lift (58),1,single_player,forehand_lift/single_player/forehand_lift (58),train
forehand_lift/single_player/forehand_lift (59),1,single_player,forehand_lift/single_player/forehand_lift (59),test
forehand_lift/single_player/forehand_lift (67),1,single_player,forehand_lift/single_player/forehand_lift (67),val
forehand_lift/single_player/forehand_lift (68),1,single_player,forehand_lift/single_player/forehand_lift (68),train
forehand_lift/single_player/forehand_lift (69),1,single_player,forehand_lift/single_player/forehand_lift (69),test
forehand_lift/single_player/forehand_lift (70),1,single_player,forehand_lift/single_player/forehand_lift (70),val
forehand_lift/single_player/forehand_lift (71),1,single_player,forehand_lift/single_player/forehand_lift (71),train
forehand_lift/single_player/forehand_lift (72),1,single_player,forehand_lift/single_player/forehand_lift (72),test
forehand_lift/single_player/forehand_lift (73),1,single_player,forehand_lift/single_player/forehand_lift (73),val
forehand_lift/single_player/forehand_lift (74),1,single_player,forehand_lift/single_player/forehand_lift (74),train
forehand_lift/single_player/forehand_lift (75),1,single_player,forehand_lift/single_player/forehand_lift (75),train
forehand_lift/single_player/forehand_lift (76),1,single_player,forehand_lift/single_player/forehand_lift (76),train
