frame_dir,class,label,subject,split
background/front/Sub20/Sub20_backhand_drive_front_gap_010_background,background,0,Sub20,val
background/front/Sub20/Sub20_backhand_drive_front_gap_011_background,background,0,Sub20,val
background/front/Sub20/Sub20_forehand_clear_front_gap_001_background,background,0,Sub20,val
background/front/Sub20/Sub20_forehand_clear_front_gap_003_background,background,0,Sub20,val
background/front/Sub20/Sub20_forehand_clear_front_gap_004_background,background,0,Sub20,val
background/front/Sub20/Sub20_forehand_clear_front_gap_006_background,background,0,Sub20,val
background/front/Sub20/Sub20_forehand_clear_front_gap_007_background,background,0,Sub20,val
background/front/Sub24/Sub24_backhand_drive_front_gap_001_background,background,0,Sub24,test
background/front/Sub24/Sub24_backhand_drive_front_gap_003_background,background,0,Sub24,test
background/front/Sub24/Sub24_backhand_drive_front_gap_006_background,background,0,Sub24,test
background/front/Sub24/Sub24_backhand_drive_front_gap_007_background,background,0,Sub24,test
background/front/Sub24/Sub24_backhand_drive_front_gap_009_background,background,0,Sub24,test
background/front/Sub24/Sub24_backhand_drive_front_gap_011_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_001_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_002_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_006_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_008_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_009_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_010_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_011_background,background,0,Sub24,test
background/front/Sub24/Sub24_forehand_clear_front_gap_012_background,background,0,Sub24,test
backhand_drive/front/LegacyTrain/legacy_001_videoplayback_01,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_002_backhand_dive2_04,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_005_backhand_dive5_04,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_006_backhand_dive6_01,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_006_backhand_dive6_04,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_007_backhandDive8_01,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_007_backhandDive8_03,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_007_backhandDive8_08,backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_backhand_drive (1),backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_backhand_drive (10),backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_backhand_drive (3),backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_backhand_drive (6),backhand_drive,1,LegacyTrain,train
backhand_drive/front/LegacyTrain/legacy_backhand_drive (9),backhand_drive,1,LegacyTrain,train
backhand_drive/front/Sub11/Sub11_backhand_drive_front_023_action,backhand_drive,1,Sub11,train
backhand_drive/front/Sub11/Sub11_backhand_drive_front_051_action,backhand_drive,1,Sub11,train
backhand_drive/front/Sub11/Sub11_backhand_drive_front_062_action,backhand_drive,1,Sub11,train
backhand_drive/front/Sub11/Sub11_backhand_drive_front_097_action,backhand_drive,1,Sub11,train
backhand_drive/front/Sub11/Sub11_backhand_drive_front_119_action,backhand_drive,1,Sub11,train
backhand_drive/front/Sub11/Sub11_backhand_drive_front_164_action,backhand_drive,1,Sub11,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_029_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_042_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_047_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_064_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_070_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_088_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_098_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_100_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_104_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_115_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub19/Sub19_backhand_drive_front_122_action,backhand_drive,1,Sub19,train
backhand_drive/front/Sub20/Sub20_backhand_drive_front_098_action,backhand_drive,1,Sub20,val
backhand_drive/front/Sub24/Sub24_backhand_drive_front_076_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub11/Sub11_backhand_drive_side_044_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub11/Sub11_backhand_drive_side_049_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub11/Sub11_backhand_drive_side_056_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub11/Sub11_backhand_drive_side_067_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub11/Sub11_backhand_drive_side_101_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub11/Sub11_backhand_drive_side_115_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub11/Sub11_backhand_drive_side_147_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub11/Sub11_backhand_drive_side_157_action,backhand_drive,1,Sub11,train
backhand_drive/side/Sub19/Sub19_backhand_drive_side_048_action,backhand_drive,1,Sub19,train
backhand_drive/side/Sub20/Sub20_backhand_drive_side_013_action,backhand_drive,1,Sub20,val
backhand_drive/side/Sub20/Sub20_backhand_drive_side_046_action,backhand_drive,1,Sub20,val
backhand_drive/side/Sub24/Sub24_backhand_drive_side_012_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_019_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_031_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_041_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_045_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_062_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_075_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_081_action,backhand_drive,1,Sub24,test
backhand_drive/side/Sub24/Sub24_backhand_drive_side_103_action,backhand_drive,1,Sub24,test
forehand_clear/front/Sub11/Sub11_forehand_clear_front_017_action,forehand_clear,2,Sub11,train
forehand_clear/front/Sub11/Sub11_forehand_clear_front_032_action,forehand_clear,2,Sub11,train
forehand_clear/front/Sub11/Sub11_forehand_clear_front_042_action,forehand_clear,2,Sub11,train
forehand_clear/front/Sub11/Sub11_forehand_clear_front_060_action,forehand_clear,2,Sub11,train
forehand_clear/front/Sub11/Sub11_forehand_clear_front_108_action,forehand_clear,2,Sub11,train
forehand_clear/front/Sub11/Sub11_forehand_clear_front_149_action,forehand_clear,2,Sub11,train
forehand_clear/front/Sub11/Sub11_forehand_clear_front_157_action,forehand_clear,2,Sub11,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_013_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_022_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_044_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_048_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_054_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_063_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_072_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_081_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_102_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_116_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_121_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub19/Sub19_forehand_clear_front_130_action,forehand_clear,2,Sub19,train
forehand_clear/front/Sub20/Sub20_forehand_clear_front_025_action,forehand_clear,2,Sub20,val
forehand_clear/front/Sub20/Sub20_forehand_clear_front_046_action,forehand_clear,2,Sub20,val
forehand_clear/front/Sub20/Sub20_forehand_clear_front_057_action,forehand_clear,2,Sub20,val
forehand_clear/front/Sub20/Sub20_forehand_clear_front_068_action,forehand_clear,2,Sub20,val
forehand_clear/front/Sub20/Sub20_forehand_clear_front_124_action,forehand_clear,2,Sub20,val
forehand_clear/front/Sub24/Sub24_forehand_clear_front_042_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_069_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_073_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_090_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_098_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_105_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_124_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_128_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_135_action,forehand_clear,2,Sub24,test
forehand_clear/front/Sub24/Sub24_forehand_clear_front_154_action,forehand_clear,2,Sub24,test
forehand_clear/side/Sub11/Sub11_forehand_clear_side_063_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_066_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_090_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_097_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_098_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_110_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_118_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_121_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_134_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_142_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub11/Sub11_forehand_clear_side_145_action,forehand_clear,2,Sub11,train
forehand_clear/side/Sub19/Sub19_forehand_clear_side_004_action,forehand_clear,2,Sub19,train
forehand_clear/side/Sub19/Sub19_forehand_clear_side_077_action,forehand_clear,2,Sub19,train
forehand_clear/side/Sub19/Sub19_forehand_clear_side_114_action,forehand_clear,2,Sub19,train
forehand_clear/side/Sub20/Sub20_forehand_clear_side_040_action,forehand_clear,2,Sub20,val
forehand_clear/side/Sub20/Sub20_forehand_clear_side_078_action,forehand_clear,2,Sub20,val
forehand_clear/side/Sub24/Sub24_forehand_clear_side_002_action,forehand_clear,2,Sub24,test
forehand_clear/side/Sub24/Sub24_forehand_clear_side_042_action,forehand_clear,2,Sub24,test
forehand_clear/side/Sub24/Sub24_forehand_clear_side_118_action,forehand_clear,2,Sub24,test
