source_video,output_video,output_pose,split,class,view,subject,source_frames,start_frame,motion_peak_frame,output_frames,peak_position_in_output
data\manual_clips\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.50.956-00.00.53.689-seg03.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.50.956-00.00.53.689-seg03__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.00.50.956-00.00.53.689-seg03__start_at_swing.npz,train,backhand_drive,front,Sub09,112,49,52,63,0.04838709677419355
data\manual_clips\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.03.02.330-00.03.04.818-seg08.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.03.02.330-00.03.04.818-seg08__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub09\Backhand Drive Front Video-00.03.02.330-00.03.04.818-seg08__start_at_swing.npz,train,backhand_drive,front,Sub09,81,21,24,60,0.05084745762711865
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.01.17.370-00.01.20.294-seg01.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.01.17.370-00.01.20.294-seg01__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.01.17.370-00.01.20.294-seg01__start_at_swing.npz,train,backhand_drive,front,Sub11,100,33,36,67,0.045454545454545456
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.30.086-00.05.33.053-seg09.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.30.086-00.05.33.053-seg09__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.30.086-00.05.33.053-seg09__start_at_swing.npz,train,backhand_drive,front,Sub11,93,32,35,61,0.05
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.49.320-00.05.51.986-seg10.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.49.320-00.05.51.986-seg10__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.05.49.320-00.05.51.986-seg10__start_at_swing.npz,train,backhand_drive,front,Sub11,107,28,31,79,0.038461538461538464
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.06.11.117-00.06.14.026-seg11.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.06.11.117-00.06.14.026-seg11__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.06.11.117-00.06.14.026-seg11__start_at_swing.npz,train,backhand_drive,front,Sub11,108,26,29,82,0.037037037037037035
data\manual_clips\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.07.10.201-00.07.12.919-seg13.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.07.10.201-00.07.12.919-seg13__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub11\Backhand Drive Front Video-00.07.10.201-00.07.12.919-seg13__start_at_swing.npz,train,backhand_drive,front,Sub11,105,24,27,81,0.0375
data\manual_clips\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.01.05.555-00.01.09.027-seg07.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.01.05.555-00.01.09.027-seg07__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.01.05.555-00.01.09.027-seg07__start_at_swing.npz,train,backhand_drive,front,Sub12,122,83,86,39,0.07894736842105263
data\manual_clips\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.18.193-00.02.22.353-seg11.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.18.193-00.02.22.353-seg11__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.02.18.193-00.02.22.353-seg11__start_at_swing.npz,train,backhand_drive,front,Sub12,133,60,63,73,0.041666666666666664
data\manual_clips\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.03.08.151-00.03.11.590-seg18.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.03.08.151-00.03.11.590-seg18__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub12\Backhand Drive Front Video-00.03.08.151-00.03.11.590-seg18__start_at_swing.npz,train,backhand_drive,front,Sub12,107,62,65,45,0.06818181818181818
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.38.506-00.00.41.890-seg03.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.38.506-00.00.41.890-seg03__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.38.506-00.00.41.890-seg03__start_at_swing.npz,train,backhand_drive,front,Sub13,118,47,50,71,0.04285714285714286
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.44.752-00.00.47.680-seg04.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.44.752-00.00.47.680-seg04__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.44.752-00.00.47.680-seg04__start_at_swing.npz,train,backhand_drive,front,Sub13,112,49,52,63,0.04838709677419355
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.50.310-00.00.54.525-seg05.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.50.310-00.00.54.525-seg05__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.00.50.310-00.00.54.525-seg05__start_at_swing.npz,train,backhand_drive,front,Sub13,137,91,94,46,0.06666666666666667
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.03.785-00.01.07.193-seg06.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.03.785-00.01.07.193-seg06__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.03.785-00.01.07.193-seg06__start_at_swing.npz,train,backhand_drive,front,Sub13,127,61,64,66,0.046153846153846156
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.09.922-00.01.13.075-seg07.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.09.922-00.01.13.075-seg07__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.09.922-00.01.13.075-seg07__start_at_swing.npz,train,backhand_drive,front,Sub13,124,72,75,52,0.058823529411764705
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.15.993-00.01.19.418-seg08.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.15.993-00.01.19.418-seg08__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.15.993-00.01.19.418-seg08__start_at_swing.npz,train,backhand_drive,front,Sub13,134,78,81,56,0.05454545454545454
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.28.099-00.01.31.187-seg10.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.28.099-00.01.31.187-seg10__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.28.099-00.01.31.187-seg10__start_at_swing.npz,train,backhand_drive,front,Sub13,97,37,40,60,0.05084745762711865
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.34.232-00.01.37.712-seg11.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.34.232-00.01.37.712-seg11__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.01.34.232-00.01.37.712-seg11__start_at_swing.npz,train,backhand_drive,front,Sub13,113,67,70,46,0.06666666666666667
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.08.821-00.02.11.669-seg13.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.08.821-00.02.11.669-seg13__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.08.821-00.02.11.669-seg13__start_at_swing.npz,train,backhand_drive,front,Sub13,112,69,72,43,0.07142857142857142
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.14.556-00.02.18.228-seg14.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.14.556-00.02.18.228-seg14__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.14.556-00.02.18.228-seg14__start_at_swing.npz,train,backhand_drive,front,Sub13,128,62,65,66,0.046153846153846156
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.39.397-00.02.43.306-seg17.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.39.397-00.02.43.306-seg17__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.39.397-00.02.43.306-seg17__start_at_swing.npz,train,backhand_drive,front,Sub13,131,44,47,87,0.03488372093023256
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.46.197-00.02.49.773-seg18.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.46.197-00.02.49.773-seg18__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.46.197-00.02.49.773-seg18__start_at_swing.npz,train,backhand_drive,front,Sub13,115,69,72,46,0.06666666666666667
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.52.578-00.02.57.818-seg19.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.52.578-00.02.57.818-seg19__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.02.52.578-00.02.57.818-seg19__start_at_swing.npz,train,backhand_drive,front,Sub13,176,102,105,74,0.0410958904109589
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.12.281-00.03.15.992-seg22.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.12.281-00.03.15.992-seg22__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.12.281-00.03.15.992-seg22__start_at_swing.npz,train,backhand_drive,front,Sub13,121,75,78,46,0.06666666666666667
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.27.583-00.03.30.649-seg24.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.27.583-00.03.30.649-seg24__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.27.583-00.03.30.649-seg24__start_at_swing.npz,train,backhand_drive,front,Sub13,111,57,60,54,0.05660377358490566
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.33.583-00.03.36.830-seg25.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.33.583-00.03.36.830-seg25__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.33.583-00.03.36.830-seg25__start_at_swing.npz,train,backhand_drive,front,Sub13,116,66,69,50,0.061224489795918366
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.39.793-00.03.43.305-seg26.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.39.793-00.03.43.305-seg26__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.39.793-00.03.43.305-seg26__start_at_swing.npz,train,backhand_drive,front,Sub13,131,41,44,90,0.033707865168539325
data\manual_clips\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.45.804-00.03.49.651-seg27.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.45.804-00.03.49.651-seg27__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub13\Backhand Drive Front Video-00.03.45.804-00.03.49.651-seg27__start_at_swing.npz,train,backhand_drive,front,Sub13,141,80,83,61,0.05
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.01.47.679-00.01.50.873-seg01.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.01.47.679-00.01.50.873-seg01__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.01.47.679-00.01.50.873-seg01__start_at_swing.npz,train,backhand_drive,front,Sub15,119,54,57,65,0.046875
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.00.839-00.02.05.360-seg03.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.00.839-00.02.05.360-seg03__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.00.839-00.02.05.360-seg03__start_at_swing.npz,train,backhand_drive,front,Sub15,163,105,108,58,0.05263157894736842
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.09.247-00.02.15.143-seg04.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.09.247-00.02.15.143-seg04__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.09.247-00.02.15.143-seg04__start_at_swing.npz,train,backhand_drive,front,Sub15,187,134,137,53,0.057692307692307696
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.30.491-00.02.34.099-seg07.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.30.491-00.02.34.099-seg07__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.30.491-00.02.34.099-seg07__start_at_swing.npz,train,backhand_drive,front,Sub15,125,45,48,80,0.0379746835443038
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.49.164-00.02.52.163-seg10.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.49.164-00.02.52.163-seg10__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.49.164-00.02.52.163-seg10__start_at_swing.npz,train,backhand_drive,front,Sub15,97,39,42,58,0.05263157894736842
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.54.982-00.02.58.446-seg11.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.54.982-00.02.58.446-seg11__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.02.54.982-00.02.58.446-seg11__start_at_swing.npz,train,backhand_drive,front,Sub15,120,58,61,62,0.04918032786885246
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.08.727-00.03.12.727-seg13.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.08.727-00.03.12.727-seg13__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.08.727-00.03.12.727-seg13__start_at_swing.npz,train,backhand_drive,front,Sub15,128,63,66,65,0.046875
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.15.829-00.03.18.948-seg14.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.15.829-00.03.18.948-seg14__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.15.829-00.03.18.948-seg14__start_at_swing.npz,train,backhand_drive,front,Sub15,105,45,48,60,0.05084745762711865
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.27.828-00.03.30.999-seg16.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.27.828-00.03.30.999-seg16__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.27.828-00.03.30.999-seg16__start_at_swing.npz,train,backhand_drive,front,Sub15,106,38,41,68,0.04477611940298507
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.33.605-00.03.37.218-seg17.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.33.605-00.03.37.218-seg17__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.33.605-00.03.37.218-seg17__start_at_swing.npz,train,backhand_drive,front,Sub15,113,65,68,48,0.06382978723404255
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.40.328-00.03.43.895-seg18.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.40.328-00.03.43.895-seg18__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.40.328-00.03.43.895-seg18__start_at_swing.npz,train,backhand_drive,front,Sub15,133,66,69,67,0.045454545454545456
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.58.774-00.04.02.917-seg21.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.58.774-00.04.02.917-seg21__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.03.58.774-00.04.02.917-seg21__start_at_swing.npz,train,backhand_drive,front,Sub15,134,78,81,56,0.05454545454545454
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.13.310-00.04.17.022-seg23.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.13.310-00.04.17.022-seg23__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.13.310-00.04.17.022-seg23__start_at_swing.npz,train,backhand_drive,front,Sub15,137,87,90,50,0.061224489795918366
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.28.185-00.04.32.186-seg25.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.28.185-00.04.32.186-seg25__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.28.185-00.04.32.186-seg25__start_at_swing.npz,train,backhand_drive,front,Sub15,142,85,88,57,0.05357142857142857
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.36.076-00.04.38.692-seg26.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.36.076-00.04.38.692-seg26__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.36.076-00.04.38.692-seg26__start_at_swing.npz,train,backhand_drive,front,Sub15,97,60,63,37,0.08333333333333333
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.41.925-00.04.44.549-seg27.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.41.925-00.04.44.549-seg27__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.41.925-00.04.44.549-seg27__start_at_swing.npz,train,backhand_drive,front,Sub15,93,26,29,67,0.045454545454545456
data\manual_clips\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.47.391-00.04.50.526-seg28.mov,data\manual_clips_temporal_augmented\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.47.391-00.04.50.526-seg28__start_at_swing.mp4,data\processed\manual_clips_2class_temporal_augmented_poses\train\backhand_drive\front\Sub15\Backhand Drive Front Video-00.04.47.391-00.04.50.526-seg28__start_at_swing.npz,train,backhand_drive,front,Sub15,122,69,72,53,0.057692307692307696
